BuildingType,PrimaryPropertyType,ZipCode,CouncilDistrictCode,Neighborhood,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEnergyUse(kBtu),BuildingAge,SiteEnergyUse_log,PropertyGFATotal_log,Distance_to_Center,Neighborhood_Cluster,Is_Downtown,Rotated_Lat,Rotated_Lon,Surface_Cluster
NonResidential,Other,98104.0,2,DOWNTOWN,1.0,4,72820,13820,59000,Museum,Museum,58000.0,72.0,2010454.625,106,14.513871436052098,11.195745921729424,1.1385469242616286,3,1,102.38257011161804,-82.13563324280526,Surf_Group_1
NonResidential,Hotel,98109.0,7,MAGNOLIA / QUEEN ANNE,1.0,4,162222,14200,148022,"Hotel, Parking",Hotel,113702.0,76.0,7946961.0,20,15.888300149398006,11.996721046484348,2.4725913212611976,9,0,102.4187971241942,-82.14228026919359,Surf_Group_0
SPS-District K-12,K-12 School,98144.0,2,SOUTHEAST,1.0,4,289588,0,289588,K-12 School,K-12 School,289588.0,90.0,8819852.0,26,15.992515647796836,12.576214502171096,4.435453515539635,7,0,102.34875434765404,-82.12146262152282,Surf_Group_0
NonResidential,Small- and Mid-Sized Office,98115.0,4,NORTHEAST,1.0,2,96300,0,96300,"Data Center, Office",Office,92300.0,73.0,16319835.0,14,16.60789179715501,11.475223597786217,9.478534167435319,4,0,102.42288168874752,-82.04507494252674,Surf_Group_0
Nonresidential COS,Other,98134.0,2,GREATER DUWAMISH,1.0,1,67356,0,67356,"Repair Services (Vehicle, Shoe, Locksmith, etc)","Repair Services (Vehicle, Shoe, Locksmith, etc)",68359.0,72.0,7475577.5,66,15.827151931781898,11.1177472647302,1.437107583640421,3,1,102.37959880455206,-82.13576678800207,Surf_Group_1
SPS-District K-12,K-12 School,98122.0,3,CENTRAL,1.0,3,254523,0,254523,K-12 School,K-12 School,254523.0,60.0,13567774.0,8,16.42320798003547,12.447146484170238,2.289722905679744,0,0,102.37876805205391,-82.11326788246676,Surf_Group_0
SPS-District K-12,K-12 School,98118.0,2,SOUTHEAST,1.0,3,78804,0,78804,K-12 School,K-12 School,78804.0,92.0,2499140.0,15,14.731457230656856,11.274719035978974,11.559806793970367,8,0,102.27836117624491,-82.12167807213633,Surf_Group_1
SPS-District K-12,K-12 School,98122.0,3,CENTRAL,1.0,3,66994,0,66994,K-12 School,K-12 School,66994.0,79.0,2371304.5,14,14.678950783625648,11.112358342124256,3.162966736124878,0,0,102.3788443710816,-82.1008800709003,Surf_Group_1
SPS-District K-12,K-12 School,98118.0,2,GREATER DUWAMISH,1.0,3,98357,0,98357,K-12 School,K-12 School,98357.0,88.0,3456131.5,16,15.055660457950728,11.496358995661653,9.156415561241635,8,0,102.30597132028115,-82.14084024441138,Surf_Group_0
NonResidential,Small- and Mid-Sized Office,98118.0,2,GREATER DUWAMISH,1.0,1,54765,0,54765,"Office, Other",Office,25765.0,73.0,4253369.5,58,15.263222050311454,10.910806582757846,8.369171739386019,8,0,102.31137947196365,-82.13196743790054,Surf_Group_1
